"TCID","ScenarioName","Steps","KeyFunction","ExecutionCondition","Br_Name","Param1","Param2","Param3"
"TC008","Verify whether member is able to add Email ","invokeBrowser","invokeBrowser","Yes","Onlife",,,
"TC008",,"Enter 'Username'","enter_Text","Yes","Onlife","xpath","html/body/section[1]/section[2]/div[1]/form/input[1]","50_20150311_110138_102794"
"TC008",,"Enter “Password'","enter_Text","Yes","Onlife","xpath","html/body/section[1]/section[2]/div[1]/form/input[2]","Password1"
"TC008",,"Click on “Login”","click_On_Button","Yes","Onlife","xpath","html/body/section[1]/section[2]/div[1]/form/button",
"TC008",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC008",,"Click on 'My Settings'","click_On_link","Yes","Onlife","xpath",".//*[@id='Menu1']/li[3]/a",
"TC008",,"Click on 'Edit' button","click_On_Button","Yes","Onlife","xpath",".//*[@id='MyProfile_edit']/span",
"TC008",,"Add 'Email Address'","enter_Text","Yes","Onlife","xpath",".//*[@id='MyProfile_email']","Ab.k@emids.com"
"TC008",,"Click on 'Save' button","click_On_Button","Yes","Onlife","xpath",".//*[@id='MyProfile_save']/span",
"TC008",,"Verify added email id is displayed","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='MyProfile_d_email']","Ab.k@emids.com"
"TC008",,"Click on 'LogOff'","click_On_link","Yes","Onlife","xpath",".//*[@id='a_logout']",
"TC008",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC009","Verify whether member is able to see his/her name in “Online Display Name” option","invokeBrowser","invokeBrowser","Yes","Onlife",,,
"TC009",,"Enter 'Username'","enter_Text","Yes","Onlife","xpath","html/body/section[1]/section[2]/div[1]/form/input[1]","50_20150311_110138_102794"
"TC009",,"Enter “Password'","enter_Text","Yes","Onlife","xpath","html/body/section[1]/section[2]/div[1]/form/input[2]","Password1"
"TC009",,"Click on “Login”","click_On_Button","Yes","Onlife","xpath","html/body/section[1]/section[2]/div[1]/form/button",
"TC009",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC009",,"Click on 'My Settings'","click_On_link","Yes","Onlife","xpath",".//*[@id='Menu1']/li[3]/a",
"TC009",,"Click on 'Edit' button","click_On_Button","Yes","Onlife","xpath",".//*[@id='MyProfile_edit']/span",
"TC009",,"Add 'Online Display Name'","enter_Text","Yes","Onlife","xpath",".//*[@id='MyProfile_nickname']","Abdk"
"TC009",,"Click on 'Save' button","click_On_Button","Yes","Onlife","xpath",".//*[@id='MyProfile_save']/span",
"TC009",,"Verify added email id is displayed","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='MyProfile_d_email']","Abdk"
"TC009",,"Click on 'LogOff'","click_On_link","Yes","Onlife","xpath",".//*[@id='a_logout']",
"TC009",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
